Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
20         966.34         10.99            -9.03         154.0              3.20
30         965.19         12.13            -8.19         187.6              2.74
40         964.04         13.31            -7.43         218.6              2.50
50         962.90         14.36            -7.07         261.8              2.46
60         961.77         15.29            -6.92         294.8              2.46
70         960.64         16.00            -7.01         313.6              2.34
80         959.51         16.49            -7.14         322.8              2.27
90         958.38         16.99            -7.30         331.1              2.29
100        957.26         17.47            -7.43         335.4              2.28
110        956.15         17.93            -7.50         330.5              2.29
120        955.03         18.33            -7.49         330.9              2.31
130        953.92         18.66            -7.42         331.7              2.34
140        952.81         18.94            -7.30         329.5              2.35
150        951.71         19.20            -7.16         325.6              2.31
160        950.60         19.43            -7.01         323.3              2.31
170        949.50         19.68            -6.82         320.8              2.26
180        948.40         19.91            -6.63         316.9              2.27
190        947.30         20.10            -6.50         312.7              2.17
200        946.21         20.27            -6.43         308.9              2.07
210        945.11         20.41            -6.47         306.5              1.99
220        944.02         20.51            -6.60         307.1              1.90
230        942.93         20.60            -6.79         306.3              1.82
240        941.84         20.69            -7.00         306.5              1.76
250        940.75         20.77            -7.21         308.4              1.74
260        939.66         20.84            -7.37         308.4              1.75
270        938.58         20.90            -7.46         308.0              1.81
280        937.49         20.93            -7.50         309.4              1.84
290        936.41         20.95            -7.52         314.4              1.95
300        935.33         20.96            -7.52         320.7              2.09
310        934.25         20.96            -7.50         325.2              2.19
320        933.17         20.96            -7.42         332.9              2.31
330        932.09         20.96            -7.27         336.0              2.40
340        931.01         20.95            -7.11         336.2              2.49
350        929.94         20.95            -6.95         335.2              2.57
360        928.86         20.95            -6.82         334.5              2.59
370        927.79         20.95            -6.76         334.7              2.61
380        926.72         20.94            -6.75         334.7              2.60
390        925.64         20.93            -6.80         333.6              2.58
400        924.57         20.90            -6.87         332.6              2.51
410        923.51         20.86            -6.98         330.8              2.49
420        922.44         20.80            -7.10         330.5              2.47
430        921.37         20.74            -7.20         330.6              2.41
440        920.31         20.68            -7.26         331.0              2.37
450        919.24         20.61            -7.32         334.0              2.36
460        918.18         20.54            -7.37         334.2              2.40
470        917.12         20.47            -7.40         332.9              2.36
